id,timestamp,genes,clean_acc,blackbox_acc,clean_acc_f,black_acc_f,genes_list,L,arch_readable,stages,balanced
39,2025-11-25T17:41:59.571118,[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","75,1984127",88.39285714,75.1984127,"[2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'MLP', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,MLP,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",81.79563492
32,2025-11-25T17:18:39.571099,[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","75,04960317",88.39285714,75.04960317,"[2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'MLP', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,MLP,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",81.721230155
21,2025-11-25T18:33:25.640967,[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"88,19444444","74,35515873",88.19444444,74.35515873,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Transformer', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Transformer,Conv;c5=Conv,Conv,Conv",81.274801585
21,2025-11-25T16:47:35.882416,[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","73,95833333",88.39285714,73.95833333,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",81.175595235
20,2025-11-25T18:31:10.859104,[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"88,19444444","74,00793651",88.19444444,74.00793651,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Transformer', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Transformer,Conv;c5=Conv,Conv,Conv",81.101190475
7,2025-11-25T16:02:26.848442,[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","73,61111111",88.39285714,73.61111111,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",81.001984125
25,2025-11-25T17:00:14.556126,[2. 1. 2. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"86,30952381","75,5952381",86.30952381,75.5952381,"[2, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",80.952380955
15,2025-11-25T16:28:04.757465,[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","73,46230159",88.39285714,73.46230159,"[2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'MLP', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,MLP,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",80.927579365
17,2025-11-25T16:34:15.314349,[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.],"88,49206349","73,21428571",88.49206349,73.21428571,"[2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",16,"c2:['MLP', 'MLP', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'MLP']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,MLP,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,MLP;c5=Conv,Conv,Conv",80.8531746
19,2025-11-25T18:28:54.385654,[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"88,19444444","73,31349206",88.19444444,73.31349206,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Transformer', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Transformer,Conv;c5=Conv,Conv,Conv",80.75396825
